block1;1;1;0,1,0;80=4%0,30=4%0,0=5%0,48=5%0,88=5%0,-1=-1%0,-1=-1%0,-1=-1%0;-236.400575080902,196.56551549719,187.500230099408|0,1,0|-6.12303176911189E-17,0,-1
block1;1;1;-6.12303176911189E-17,2.44921270764475E-16,1;-1=-1%0,-2=-1%0,53=5%0,-1=-1%0,17=1%0,-2=-1%0,91=7%0,-1=-1%0;3263.5997855031,2946.56525621503,-562.49999835966|-6.12303176911189E-17,2.44921270764475E-16,1|-1.49966072182214E-32,-1,2.44921270764475E-16
block1;1;1;0,1.83690953073357E-16,1;58=4%0,95=4%0,-1=-1%0,172=5%0,85=5%0,8=2%0,-2=-1%0,-1=-1%0;2576.09890568121,759.065055412815,437.500001640338|0,1.83690953073357E-16,1|1,0,0
block1;1;1;0,6.12303176911189E-17,1;-2=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,14=0%0,-1=-1%0,-1=-1%0,-1=-1%0;451.099395177217,759.066156255036,-1062.49999835966|0,6.12303176911189E-17,1|-1,0,0
block1;1;1;0,6.12303176911189E-17,1;64=1%0,-2=-1%0,106=3%0,96=5%0,-2=-1%0,20=2%0,-1=-1%0,-1=-1%0;-548.900323008598,2759.06614893074,-62.4999983596617|0,6.12303176911189E-17,1|-1,0,0
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,61=2%0,-1=-1%0,-1=-1%0,21=3%0,-2=-1%0,-1=-1%0,-1=-1%0;1076.09937144954,3321.56550489221,-1.98951966012828E-13|0,-1,1.22460635382238E-16|1,1.49966072182214E-32,1.22460635382238E-16
block1;1;1;-6.12303176911189E-17,0,-1;56=2%0,-1=-1%0,113=3%0,-2=-1%0,24=1%0,-1=-1%0,-1=-1%0,-1=-1%0;-236.400575080902,-553.434714487776,1062.50028017385|-6.12303176911189E-17,0,-1|0,-1,0
block1;1;1;0,-6.12303176911189E-17,1;37=1%0,74=2%0,19=0%0,200=4%0,-2=-1%0,-2=-1%0,-1=-1%0,-2=-1%0;451.098914760284,1259.06522471837,-2062.49952526703|0,-6.12303176911189E-17,1|-1,-1.22460635382238E-16,-7.49830360911069E-33
block1;1;1;6.12303176911189E-17,-1,1.83690953073357E-16;-1=-1%0,-1=-1%0,-2=-1%0,102=4%0,-2=-1%0,3=2%0,-2=-1%0,-1=-1%0;2263.59914310491,821.56522307803,-1312.50022834463|6.12303176911189E-17,-1,1.83690953073357E-16|0,-1.83690953073357E-16,-1
block1;1;1;-1.49966072182214E-32,-1.83690953073357E-16,1;-1=-1%0,42=2%0,145=3%0,13=1%0,59=5%0,-1=-1%0,-1=-1%0,-1=-1%0;-2923.90079053171,1259.06522471837,437.501109806857|-1.49966072182214E-32,-1.83690953073357E-16,1|1,-1.22460635382238E-16,-7.49830360911069E-33
block1;1;1;1.83690953073357E-16,-1.22460635382238E-16,-1;114=5%0,18=0%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;1763.60007464158,3946.56543284488,-1937.49999431604|1.83690953073357E-16,-1.22460635382238E-16,-1|1.22460635382238E-16,-1,1.22460635382238E-16
block1;1;1;6.12303176911189E-17,1.22460635382238E-16,1;44=1%0,70=2%0,54=3%0,176=5%0,-1=-1%0,14=2%0,-1=-1%0,-1=-1%0;763.59915775351,-53.4340720895924,-62.4999983596617|6.12303176911189E-17,1.22460635382238E-16,1|0,-1,1.22460635382238E-16
block1;1;1;0,-1,0;-1=-1%0,52=4%0,-1=-1%0,-2=-1%0,19=2%0,-1=-1%0,136=7%0,-1=-1%0;576.098913005504,1821.56522307803,-999.999992675704|0,-1,0|1,0,0
block1;1;1;-1,-1.22460635382238E-16,-7.49830360911069E-33;87=1%0,31=0%0,-1=-1%0,-1=-1%0,185=5%0,-1=-1%0,-1=-1%0,-1=-1%0;-673.901316979463,946.565173003591,-1499.9999926757|-1,-1.22460635382238E-16,-7.49830360911069E-33|1.22460635382238E-16,-1,-1.22460635382238E-16
block1;1;1;-6.12303176911189E-17,1.22460635382238E-16,1;-1=-1%0,60=4%0,-1=-1%0,-1=-1%0,12=1%0,-2=-1%0,-1=-1%0,-1=-1%0;1763.5994322434,1571.565453063,-1062.49999835966|-6.12303176911189E-17,1.22460635382238E-16,1|0,1,-1.22460635382238E-16
block1;1;1;0,-1,-1.22460635382238E-16;-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,5=3%0,-1=-1%0,-1=-1%0,-1=-1%0;-2048.90060482278,1821.56522307803,0.000931536667934552|0,-1,-1.22460635382238E-16|-1,0,0
block1;1;1;1,0,0;-1=-1%0,-1=-1%0,-1=-1%0,3=1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;2701.09989232777,1259.06522471837,1187.49976433107|1,0,0|0,-1.83690953073357E-16,-1
block1;1;1;-1,0,0;-1=-1%0,-1=-1%0,6=1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;3326.09960723291,1946.56544016918,-5.6843418860808E-14|-1,0,0|0,-1,2.44921270764475E-16
block1;1;1;-1.49966072182214E-32,-1.83690953073357E-16,1;-1=-1%0,47=4%0,33=1%0,55=5%0,79=5%0,-2=-1%0,-2=-1%0,-2=-1%0;-3423.9010723459,1259.06522471837,-1062.49889019314|-1.49966072182214E-32,-1.83690953073357E-16,1|1,-1.22460635382238E-16,-7.49830360911069E-33
block1;1;1;0,-6.12303176911189E-17,1;-1=-1%0,13=0%0,132=3%0,-1=-1%0,168=5%0,-2=-1%0,-1=-1%0,-2=-1%0;-1548.90107791542,1259.06522471837,1937.50092585271|0,-6.12303176911189E-17,1|-1,1.22460635382238E-16,7.49830360911069E-33
block1;1;1;0,-1,1.22460635382238E-16;-1=-1%0,35=0%0,-1=-1%0,72=4%0,-1=-1%0,-2=-1%0,-2=-1%0,-1=-1%0;763.59915775351,-1178.43430382934,812.499585946442|0,-1,1.22460635382238E-16|1.83690953073357E-16,1.22460635382238E-16,1
block1;1;1;0,1.83690953073357E-16,1;-1=-1%0,69=5%0,-1=-1%0,-1=-1%0,23=1%0,-2=-1%0,-1=-1%0,-1=-1%0;3076.09966791232,1759.06558530237,-1062.49999835966|0,1.83690953073357E-16,1|1,0,0
block1;1;1;-6.12303176911189E-17,-1.22460635382238E-16,-1;81=4%0,-1=-1%0,-1=-1%0,12=2%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0;1263.59915042921,-428.434539612705,-437.500467408673|-6.12303176911189E-17,-1.22460635382238E-16,-1|0,1,-1.22460635382238E-16
block1;1;1;-1,0,-1.49966072182214E-32;-1=-1%0,-1=-1%0,-2=-1%0,-1=-1%0,42=1%0,-2=-1%0,-1=-1%0,-1=-1%0;-3173.90112570101,1259.06522471837,-1812.49912017811|-1,0,-1.49966072182214E-32|1.49966072182214E-32,1.83690953073357E-16,-1
block1;1;1;1.22460635382238E-16,-1,-7.49830360911069E-33;181=2%0,-2=-1%0,-1=-1%0,183=5%0,-1=-1%0,24=3%0,-1=-1%0,-1=-1%0;-236.400575080902,-178.434953551821,-812.499762576293|1.22460635382238E-16,-1,-7.49830360911069E-33|-6.12303176911189E-17,0,-1
block1;1;1;-1.22460635382238E-16,3.06151588455594E-16,1;83=2%0,50=2%0,-1=-1%0,-1=-1%0,17=3%0,-2=-1%0,-1=-1%0,-1=-1%0;4076.09982989358,3759.06501879132,-562.49999835966|-1.22460635382238E-16,3.06151588455594E-16,1|1,1.49966072182214E-32,1.22460635382238E-16
block1;1;1;-1.22460635382238E-16,3.06151588455594E-16,1;62=2%0,-2=-1%0,49=1%0,-2=-1%0,101=5%0,-2=-1%0,66=7%0,-2=-1%0;3576.09954807939,3759.06501879132,-2062.49999835966|-1.22460635382238E-16,3.06151588455594E-16,1|1,1.49966072182214E-32,1.22460635382238E-16
block1;1;1;0,-1,2.44921270764475E-16;-1=-1%0,-1=-1%0,203=3%0,-2=-1%0,-1=-1%0,12=4%0,-1=-1%0,-1=-1%0;2076.09937144954,-178.434776921968,-500|0,-1,2.44921270764475E-16|1,0,0
block1;1;1;1,0,0;155=1%0,-1=-1%0,-2=-1%0,-1=-1%0,36=1%0,-1=-1%0,-1=-1%0,-1=-1%0;-298.901137068933,2571.56545306299,-999.999992675704|1,0,0|0,1,0
block1;1;1;1.49966072182214E-32,1,-2.44921270764475E-16;-1=-1%0,119=4%0,67=4%0,-2=-1%0,-1=-1%0,25=2%0,77=7%0,-1=-1%0;3263.5997855031,3196.56502775596,812.499762576295|1.49966072182214E-32,1,-2.44921270764475E-16|-6.12303176911189E-17,2.44921270764475E-16,1
block1;1;1;1.22460635382238E-16,1,-1.22460635382238E-16;-1=-1%0,-2=-1%0,-2=-1%0,35=2%0,118=5%0,-1=-1%0,-1=-1%0,-1=-1%0;763.59915775351,-303.433834780328,1187.49976433107|1.22460635382238E-16,1,-1.22460635382238E-16|-6.12303176911189E-17,-1.22460635382238E-16,-1
block1;1;1;-1.22460635382238E-16,-1,-1.22460635382238E-16;-2=-1%0,-1=-1%0,110=5%0,-1=-1%0,-2=-1%0,42=3%0,-1=-1%0,-1=-1%0;-2423.9010796702,821.565223078031,-999.999357601816|-1.22460635382238E-16,-1,-1.22460635382238E-16|1,-1.22460635382238E-16,-7.49830360911069E-33
block1;1;1;0,1,0;99=3%0,-1=-1%0,30=0%0,-2=-1%0,-2=-1%0,-1=-1%0,97=7%0,-1=-1%0;-236.400575080902,-1803.43447717851,687.500977681927|0,1,0|-6.12303176911189E-17,0,-1
block1;1;1;-8.6592745707193E-17,-3.21964677141295E-14,-1;140=1%0,-2=-1%0,84=5%0,-1=-1%0,-1=-1%0,-1=-1%0,-1=-1%0,22=6%0;-1736.40084224649,446.565469466376,-937.499070103662|-8.6592745707193E-17,-3.21964677141295E-14,-1|-2.53624280160733E-17,-1,3.21964677141295E-14
block1;1;1;0,-3.06151588455594E-16,-1;-1=-1%0,190=3%0,-2=-1%0,-1=-1%0,26=0%0,-1=-1%0,-1=-1%0,-1=-1%0;3076.09889835691,759.065055412816,1562.49953259133|0,-3.06151588455594E-16,-1|1,0,0
block1;1;1;-2.99932144364427E-32,-3.06151588455594E-16,1;111=1%0,-1=-1%0,63=4%0,-1=-1%0,-1=-1%0,33=4%0,-1=-1%0,-1=-1%0;-3548.90078145263,1259.06522471837,1437.50110980686|-2.99932144364427E-32,-3.06151588455594E-16,1|-1,1.22460635382238E-16,7.49830360911069E-33
block1;1;1;1,6.12303176911189E-17,6.12303176911189E-17;-1=-1%0,-1=-1%0,-2=-1%0,76=5%0,38=1%0,-1=-1%0,-1=-1%0,-1=-1%0;1201.09943388374,1259.06540134822,-1812.50022834463|1,6.12303176911189E-17,6.12303176911189E-17|6.12303176911189E-17,-1.22460635382238E-16,-1
block1;1;1;0,-1,1.22460635382238E-16;-2=-1%0,-1=-1%0,29=1%0,-2=-1%0,112=5%0,-2=-1%0,-1=-1%0,-2=-1%0;763.599319734764,4821.56550489221,187.500230099408|0,-1,1.22460635382238E-16|1.83690953073357E-16,-1.22460635382238E-16,-1
