stick;1;1;1,0,0;8=3%2,1=2%2,2=1%2,18=0%2;61.2184240067299,95.6458154544821,0|1,0,0|0,1,0
stick;1;1;-1,0,0;13=0%2,9=3%2,0=1%2,41=3%2;61.2184240067299,90.6458154544821,0|-1,0,0|0,0,1
elle;1;1;0,0,1;4=2%2,0=2%2,3=1%2,67=1%2;59.9684240067299,99.2916487878155,4.89583333333334|0,1,0|0,0,1
elle;1;1;0,1,0;19=2%2,2=2%2,14=1%2,36=3%2;64.96842400673,110.541648787815,3.64583333333334|1,0,0|0,1,0
elle;1;1;0,0,-1;6=1%2,5=0%2,2=0%2,45=2%2;44.96842400673,94.2916487878154,4.89583333333334|1,0,0|0,0,-1
elle;1;1;-1.22460635382238E-16,-1,0;4=1%2,31=1%2,17=1%2,12=3%2;37.4684240067299,95.5416487878154,13.6458333333333|-1,1.22460635382238E-16,0|-1.22460635382238E-16,-1,0
stick;1;1;0,0,1;10=0%2,4=0%2,7=0%2,26=0%2;41.3225906733966,85.4374821211488,4.89583333333334|0,0,1|0,-1,0
elle;1;1;0,0,-1;6=2%2,54=2%2,134=0%2,20=2%2;49.9684240067299,81.7916487878154,4.89583333333334|0,-1,0|0,0,-1
stick;1;1;1,-1.27675647831893E-15,-8.65927457071936E-17;21=0%2,-2=-1%1,-2=-1%1,0=0%2;81.2184240067299,95.4374821211488,-4.44089209850063E-16|1,-1.27675647831893E-15,-8.65927457071936E-17|8.65927457071937E-17,8.65927457071934E-17,1
elle;1;1;-6.12303176911189E-17,1,0;-2=-1%1,11=1%2,52=2%2,1=1%2;59.96842400673,90.5416487878154,-6.35416666666667|1,6.12303176911189E-17,0|-6.12303176911189E-17,1,0
stick;1;1;0,0,-1;6=0%2,85=2%2,50=0%2,130=0%2;41.3225906733966,85.6458154544821,24.8958333333333|0,0,-1|0,1,0
elle;1;1;6.12303176911189E-17,-1,0;16=1%2,9=1%2,-1=-1%1,32=3%2;52.4684240067299,85.5416487878154,-6.35416666666667|-1,-6.12303176911189E-17,1.22460635382238E-16|6.12303176911189E-17,-1,0
elle;1;1;1.22460635382238E-16,1,0;-2=-1%1,30=1%2,49=0%2,5=3%2;37.4684240067299,95.5416487878154,21.1458333333333|-1,1.22460635382238E-16,0|1.22460635382238E-16,1,0
stick;1;1;-2.4980018054066E-15,-8.65927457071937E-17,1;1=0%2,-1=-1%1,-2=-1%1,75=3%2;51.1142573400633,90.4374821211488,-10.1041666666667|-2.4980018054066E-15,-8.65927457071936E-17,1|-1,-8.65927457071934E-17,-2.4980018054066E-15
elle;1;1;1,0,0;15=1%2,3=2%2,24=0%2,56=2%2;76.21842400673,111.791648787815,1.14583333333329|0,-1.22460635382238E-16,-1|1,0,0
stick;1;1;1,1.49966072182214E-32,1.22460635382238E-16;281=0%2,14=0%2,35=2%2,152=3%2;76.21842400673,120.645815454482,5|1,1.49966072182214E-32,1.22460635382238E-16|0,1,-1.22460635382238E-16
stick;1;1;-6.12303176911189E-17,1,0;58=3%2,11=0%2,216=3%2,166=3%2;56.1142573400632,85.5416487878154,-15.2083333333333|-6.12303176911189E-17,1,0|-1.22460635382238E-16,-7.49830360911069E-33,-1
elle;1;1;-1,1.22460635382238E-16,0;-2=-1%1,5=2%2,61=3%2,28=3%2;26.2184240067299,99.2916487878155,13.6458333333333|1.22460635382238E-16,1,6.12303176911189E-17|-1,1.22460635382238E-16,0
stick;1;1;1,8.65927457071936E-17,-1.27675647831893E-15;0=3%2,-1=-1%1,23=1%2,25=3%2;41.2184240067299,95.6458154544821,-0.20833333333332|1,8.65927457071936E-17,-1.27675647831893E-15|-1.27675647831893E-15,8.65927457071934E-17,-1
stick;1;1;-1,-6.12303176911189E-17,0;68=3%2,48=2%2,3=0%2,53=3%2;61.2184240067299,110.437482121149,-5|-1,-6.12303176911189E-17,0|6.12303176911189E-17,-1,0
stick;1;1;0,1.22460635382238E-16,1;79=0%2,22=3%2,7=3%2,42=0%2;56.1142573400632,80.6458154544821,4.89583333333334|0,1.22460635382238E-16,1|0,1,-1.22460635382238E-16
stick;1;1;2.66453525910038E-15,1.73185491414384E-16,1;8=0%2,29=3%2,43=1%2,275=3%2;91.3225906733966,95.6458154544821,-10.1041666666667|2.66453525910038E-15,1.73185491414384E-16,1|1,-1.19016373261174E-15,-2.66453525910038E-15
elle;1;1;-1,7.49830360911069E-33,6.12303176911189E-17;-2=-1%1,256=2%2,-1=-1%1,20=1%2;56.2184240067299,74.2916487878154,6.14583333333333|-6.12303176911189E-17,-1.22460635382238E-16,-1|-1,7.49830360911069E-33,6.12303176911189E-17
elle;1;1;-8.65927457071935E-17,1,8.65927457071935E-17;176=3%2,18=2%2,-2=-1%1,-1=-1%1;39.9684240067299,100.541648787815,-3.85416666666669|-1.27675647831893E-15,8.65927457071934E-17,-1|-8.65927457071935E-17,1,8.65927457071935E-17
elle;1;1;1,1.22460635382238E-16,-1.49966072182214E-32;14=2%2,-2=-1%1,-1=-1%1,27=2%2;76.21842400673,114.291648787815,-13.8541666666667|-1.22460635382238E-16,1,-1.22460635382238E-16|1,1.22460635382238E-16,-1.49966072182214E-32
stick;1;1;-1,-1.66533453693773E-16,1.27675647831893E-15;34=3%2,39=2%2,76=2%2,18=3%2;21.2184240067299,95.4374821211488,-0.208333333333295|-1,-1.66533453693774E-16,1.27675647831893E-15|-1.27675647831893E-15,8.65927457071936E-17,-1
stick;1;1;-1.27675647831893E-15,-8.65927457071936E-17,1;6=3%2,44=1%2,33=1%2,156=3%2;41.1142573400633,85.4374821211488,-15.1041666666667|-1.27675647831893E-15,-8.65927457071936E-17,1|-1,-8.65927457071934E-17,-1.27675647831893E-15
stick;1;1;-1,-2.44921270764475E-16,2.99932144364427E-32;244=3%2,63=1%2,24=3%2,167=3%2;76.21842400673,115.437482121149,-20|-1,-2.44921270764475E-16,2.99932144364427E-32|2.44921270764475E-16,-1,1.22460635382238E-16
elle;1;1;1.83690953073357E-16,1,6.12303176911189E-17;62=3%2,-1=-1%1,60=2%2,17=3%2;27.4684240067299,100.541648787815,21.1458333333333|-1,1.83690953073357E-16,3.74915180455534E-33|1.83690953073357E-16,1,6.12303176911189E-17
elle;1;1;2.66453525910038E-15,1.73185491414384E-16,1;91=3%2,40=1%2,51=2%2,21=1%2;84.9684240067299,94.2916487878154,-10.1041666666667|1.19016373261174E-15,1,-1.73185491414387E-16|2.66453525910038E-15,1.73185491414384E-16,1
elle;1;1;-1.22460635382238E-16,-1,0;223=3%2,12=1%2,-2=-1%1,-2=-1%1;44.96842400673,90.5416487878154,21.1458333333333|1,-1.22460635382238E-16,-1.22460635382238E-16|-1.22460635382238E-16,-1,0
stick;1;1;1,-1.22460635382238E-16,6.12303176911189E-17;-1=-1%1,5=1%2,38=2%2,-1=-1%1;41.2184240067299,100.645815454482,15|1,-1.22460635382238E-16,6.12303176911189E-17|1.22460635382238E-16,1,0
elle;1;1;-6.12303176911189E-17,1,0;65=0%2,-1=-1%1,-1=-1%1,11=3%2;52.4684240067299,85.5416487878154,1.14583333333333|-1,-6.12303176911189E-17,1.22460635382238E-16|-6.12303176911189E-17,1,0
elle;1;1;8.65927457071935E-17,-1,-8.65927457071935E-17;-1=-1%1,26=2%2,-1=-1%1,37=1%2;44.96842400673,80.5416487878154,-13.8541666666667|1,8.65927457071934E-17,1.15429584293669E-15|8.65927457071935E-17,-1,-8.65927457071935E-17
stick;1;1;-1,-7.99407079865801E-17,2.4980018054066E-15;-1=-1%1,47=2%2,132=0%2,25=0%2;1.21842400672995,95.4374821211488,7.54951656745106E-14|-1,-7.99407079865801E-17,2.4980018054066E-15|7.99407079865796E-17,-1,-1.73185491414387E-16
elle;1;1;-1,-1.49966072182214E-32,-1.22460635382238E-16;191=3%2,243=1%2,15=2%2,249=1%2;76.21842400673,119.291648787815,16.1458333333333|1.22460635382238E-16,-1.22460635382238E-16,-1|-1,-1.49966072182214E-32,-1.22460635382238E-16
elle;1;1;1.22460635382238E-16,1,0;-1=-1%1,-2=-1%1,46=1%2,3=3%2;67.46842400673,110.541648787815,11.1458333333333|-1,1.22460635382238E-16,0|1.22460635382238E-16,1,0
elle;1;1;1.15429584293669E-15,8.65927457071936E-17,-1;-1=-1%1,33=3%2,115=3%2,-2=-1%1;49.96842400673,79.2916487878154,-20.1041666666667|1,8.65927457071934E-17,1.15429584293669E-15|1.15429584293669E-15,8.65927457071936E-17,-1
elle;1;1;-1,1.22460635382238E-16,-6.12303176911189E-17;-2=-1%1,-1=-1%1,31=2%2,-1=-1%1;41.2184240067299,99.2916487878154,26.1458333333333|6.12303176911189E-17,-7.49830360911069E-33,-1|-1,1.22460635382238E-16,-6.12303176911189E-17
stick;1;1;-1,-4.40728183115358E-17,1.27675647831893E-15;-1=-1%1,261=2%2,25=1%2,-1=-1%1;21.21842400673,95.6458154544821,4.79166666666671|-1,-4.40728183115358E-17,1.27675647831893E-15|-4.40728183115357E-17,1,8.65927457071934E-17
elle;1;1;-2.66453525910038E-15,-1.73185491414384E-16,-1;-2=-1%1,29=1%2,66=2%2,-1=-1%1;84.9684240067299,86.7916487878153,-15.1041666666667|-1.0677030972295E-15,-1,1.73185491414387E-16|-2.66453525910038E-15,-1.73185491414384E-16,-1
stick;1;1;0,-1,8.65927457071935E-17;133=0%2,71=0%2,98=1%2,1=3%2;71.3225906733966,80.5416487878154,-0.208333333333332|0,-1,8.65927457071935E-17|-8.65927457071935E-17,-8.65927457071935E-17,-1
stick;1;1;-1,-1.4791141972894E-31,-1.27675647831893E-15;20=3%2,57=0%2,92=2%2,-1=-1%1;66.2184240067299,80.4374821211487,-5.20833333333332|-1,-1.4791141972894E-31,-1.27675647831893E-15|1.27675647831893E-15,-1.22460635382238E-16,-1
stick;1;1;2.54207462371814E-15,1.73185491414384E-16,1;70=0%2,21=2%2,-1=-1%1,93=3%2;91.1142573400633,100.645815454482,-10.1041666666667|2.54207462371814E-15,1.73185491414384E-16,1|1.19016373261174E-15,1,-1.73185491414387E-16
elle;1;1;1,8.65927457071934E-17,1.27675647831893E-15;170=1%2,26=1%2,175=2%2,-1=-1%1;46.2184240067299,86.7916487878154,-18.8541666666667|1.27675647831893E-15,2.53624280160748E-17,-1|1,8.65927457071934E-17,1.27675647831893E-15
elle;1;1;-1,0,-6.12303176911189E-17;-1=-1%1,-1=-1%1,4=3%2,-2=-1%1;46.2184240067299,106.791648787815,6.14583333333334|0,-1,0|-1,0,-6.12303176911189E-17
stick;1;1;1.22460635382238E-16,1,1.22460635382238E-16;73=0%2,36=2%2,55=2%2,109=3%2;56.1142573400633,110.541648787815,10|1.22460635382238E-16,1,1.22460635382238E-16|-1,1.22460635382238E-16,0
elle;1;1;-2.43677148771548E-15,1.73185491414387E-16,-1;174=1%2,74=2%2,34=1%2,77=1%2;-0.0315759932700543,106.791648787815,-0.104166666666586|7.99407079865796E-17,-1,-1.73185491414387E-16|-2.43677148771548E-15,1.73185491414387E-16,-1
elle;1;1;6.12303176911189E-17,3.74915180455534E-33,-1;210=1%2,101=2%2,19=1%2,124=1%2;59.9684240067299,121.791648787815,-5.10416666666666|6.12303176911189E-17,-1,0|6.12303176911189E-17,3.74915180455534E-33,-1
elle;1;1;-1.22460635382238E-16,-1,0;12=2%2,-1=-1%1,-1=-1%1,149=1%2;22.4684240067299,95.5416487878154,16.1458333333333|0,0,-1|-1.22460635382238E-16,-1,0
elle;1;1;0,-1.22460635382238E-16,-1;10=2%2,64=3%2,102=1%2,-2=-1%1;49.9684240067299,81.7916487878154,24.8958333333333|0,-1,1.22460635382238E-16|0,-1.22460635382238E-16,-1
elle;1;1;2.54207462371814E-15,1.73185491414384E-16,1;-2=-1%1,95=2%2,29=2%2,120=2%2;87.4684240067299,111.791648787815,-10.1041666666667|-1.19016373261174E-15,-1,1.73185491414387E-16|2.54207462371814E-15,1.73185491414384E-16,1
elle;1;1;3.74915180455534E-33,-6.12303176911189E-17,-1;241=0%2,78=2%2,9=2%2,-1=-1%1;77.4684240067299,91.7916487878154,-5.10416666666667|-1,-6.12303176911189E-17,0|3.74915180455534E-33,-6.12303176911189E-17,-1
stick;1;1;0,-8.65927457071935E-17,-1;136=3%2,59=3%2,-1=-1%1,19=3%2;71.3225906733966,110.645815454482,-15.1041666666667|0,-8.65927457071936E-17,-1|-1.47823063398312E-16,1,-8.65927457071936E-17
stick;1;1;6.12303176911189E-17,1,0;-1=-1%1,-1=-1%1,7=1%2,107=0%2;51.3225906733966,85.5416487878154,9.79166666666667|6.12303176911189E-17,1,0|1,-6.12303176911189E-17,0
stick;1;1;-1.22460635382238E-16,-1,-1.22460635382238E-16;-1=-1%1,257=2%2,46=2%2,110=0%2;56.1142573400633,110.541648787815,14.7916666666667|-1.22460635382238E-16,-1,-1.22460635382238E-16|-1,1.22460635382238E-16,0
stick;1;1;1,0,0;83=3%2,-1=-1%1,14=3%2,-1=-1%1;76.21842400673,105.645815454482,-0.208333333333366|1,0,0|0,-1.22460635382238E-16,-1
elle;1;1;-1,1.22460635382238E-16,-1.27675647831893E-15;42=1%2,-2=-1%1,212=1%2,89=0%2;66.2184240067299,84.2916487878154,3.64583333333335|1.22460635382238E-16,1,-1.22460635382238E-16|-1,1.22460635382238E-16,-1.27675647831893E-15
stick;1;1;2.53624280160749E-17,1,1.27675647831893E-15;222=0%2,72=3%2,180=0%2,16=0%2;56.1142573400632,105.541648787815,-15|2.53624280160749E-17,1,1.27675647831893E-15|-1,2.53624280160748E-17,3.58678896750443E-17
elle;1;1;1,1.47823063398312E-16,-6.12303176911189E-17;94=3%2,184=1%2,-1=-1%1,53=1%2;71.2184240067299,104.291648787815,-16.3541666666667|6.12303176911189E-17,8.65927457071936E-17,1|1,1.47823063398312E-16,-6.12303176911189E-17
stick;1;1;-1.83690953073357E-16,-1,-6.12303176911189E-17;-1=-1%1,-1=-1%1,28=2%2,168=0%2;16.3225906733965,100.541648787815,19.7916666666667|-1.83690953073357E-16,-1,-6.12303176911189E-17|7.49830360911069E-33,6.12303176911189E-17,-1
elle;1;1;-6.12303176911189E-17,-6.12303176911189E-17,1;-1=-1%1,-1=-1%1,-1=-1%1,17=2%2;24.9684240067299,111.791648787815,14.8958333333333|1,-1.22460635382238E-16,6.12303176911189E-17|-6.12303176911189E-17,-6.12303176911189E-17,1
elle;1;1;-3.06151588455594E-16,-1,-6.12303176911189E-17;84=1%2,69=1%2,-1=-1%1,28=0%2;29.9684240067299,100.541648787815,31.1458333333333|1,-3.06151588455594E-16,-1.1247455413666E-32|-3.06151588455594E-16,-1,-6.12303176911189E-17
